Authors,Title,Year,Source title,Page count,Cited by,Abstract,Affiliations,Author Keywords,Index Keywords,Article Type,Document Type,Topic Domain,Level of IS Phenomenon,Geography,Ethics Paper Type,Ethics Theory Applied,Research Method,Contribution Type,Industry Setting,Mentions Metaethics,Mentions EvoBiology,Mentions TheologyGod,Mentions LegalProfessionalDuty,"
Metaethical Position",Explicitness
Pearson J.M.; Crosby L.; Shim J.P.,Modeling the relative importance of ethical behavior criteria: A simulation of information systems professionals' ethical decisions,1996,Journal of Strategic Information Systems,16,10,"Using a simulation-based decision modeling technique, this study investigated two components of ethical decision making: the relative importance of six ethical criteria; and the information systems (IS) professional's ability to determine the importance the six ethical criteria in their decision-making process. This was accomplished via a questionnaire mailed to 480 randomly selected DPMA members. One hundred eighteen respondents identified two criteria as most important in their ethical evaluation of IS professionals: ""performance of assigned tasks to the best of his or her ability"" and ""works diligently to satisfy the organization's customers"". The results also raised questions about the IS professionals' (especially younger, less experienced individuals) ability to clearly articulate which criteria they actually used in their evaluation process.","BCIS Department, St. Cloud State University, St Cloud, MN 56301-4498, United States; Division of MMFE, Emporia State University, Emporia, KS 66801, United States; Department of MIS, Mississippi State University, Mississippi State, MS 39762, United States",Decision modeling; Ethics; IS professionals,,Research article,Article,IS professionalism,Individual,USA,Empirical descriptive,Professional ethics,Survey; simulation-based modeling,Empirical,Professional organizations,0,0,0,1,Relativism,Implicit
Smith H.J.; Milberg S.J.; Burke S.J.,Information privacy: Measuring individuals' concerns about organizational practices,1996,MIS Quarterly: Management Information Systems,28,1777,"Information privacy has been called one of the most important ethical issues of the informa-tion age. Public opinion polls show rising levels of concern about privacy among Americans. Against this backdrop, research into issues associated with information privacy is increasing. Based on a number of preliminary studies, it has become apparent that organizational practices, individuals' perceptions of these practices, and societal responses are inextricably linked in many ways. Theories regarding these relationships are slowly emerging. Unfortunately, researchers attempting to examine such relationships through confirmatory empirical approaches may be impeded by the lack of validated instruments for measuring individuals' concerns about organizational information privacy practices. To enable future studies in the information privacy research stream, we developed and validated an instrument that identifies and measures the primary dimensions of individuals' concerns about organizational information privacy practices. The development process included examinations of privacy literature; experience surveys and focus groups; and the use of expert judges. The result was a parsimonious 15-item instrument with four sub-scales tapping into dimensions of individuals' concerns about organizational information privacy practices. The instrument was rigorously tested and validated across several heterogenous populations, providing a high degree of confidence in the scales' validity, reliability, and generalizability.","Georgetown School of Business, Georgetown University, Old North Hall, Washington, DC 20057, United States; School of Business, Georgetown University, Washington, DC, United States",Ethical issues; LISREL; Measures; Privacy; Reliability; Validity,Data processing; Information management; Problem solving; Public policy; Reliability; Social aspects; Societies and institutions; Ethical issues; LISREL; Measures; Validity; Data privacy,Research article,Article,Privacy,Individual,USA,Empirical descriptive,None,Survey; factor anlysis,Empirical; methodological,Finance,0,0,0,0,Non-cognitivism,Implicit
Walsham G.,"Ethical theory, codes of ethics and IS practice",1996,Information Systems Journal,12,68,"Ethical issues, with respect to computer-based information systems, are important to the individual IS practitioner. These same issues also have an important impact on the moral well-being of organizations and societies. Considerable discussion has taken place in the Information Systems (IS) literature on specific ethical issues, but there is little published work which relates these issues to mainstream ethical theory. This paper describes a range of ethical theories drawn from philosophy literature and uses these theories to critique aspects of the newly revised ACM Code of Ethics. Some in the IS field on problematic ethical issues which are not resolved by the Code are then identified and discussed. The paper draws some implications and conclusions on the value of ethical theory and codes of practice, and on further work to develop existing ethical themes and to promote new initiatives in the ethical domain.","Management School, Lancaster University, Lancaster LA1 4YX, United Kingdom; University of Nairobi, Kenya",Codes of ethics; Ethical theory; Ethics of IS practice,ethics; information system,NA,Article,IS discipline,Organization,UK; general,Normative,Deontology; consequentialism; utilitarianism; virtue ethics,Conceptual analysis,Theoretical,IS practice,0,0,0,1,Realism; Cognitivism,Implicit
Gopal R.D.; Sanders G.L.,Preventive and deterrent controls for software piracy,1997,Journal of Management Information Systems,18,232,"In an attempt to protect their intellectual property and compete effectively in an increasingly dynamic marketplace, software publishers have employed a number of preventive and deterrent controls to counter software piracy. Conventional wisdom suggests that reducing piracy will force consumers to acquire software legitimately, thus increasing firm profits. We develop an analytical model to test the implications of antipiracy measures on publisher profits. Our results suggest that preventive controls decrease profits and deterrent controls can potentially increase profits. Empirical results are also presented that support the proposition on the impact of deterrent controls on the extent of software piracy derived from the analytical model.","Dept. of Operations and Info. Mgmt., School of Business, University of Connecticutt; Dept. of Mgmt. Science and Systems, School of Management, State University of New York, Buffalo, NY, United States; Texas Tech. University",Computer ethics; Economics of software; Information systems controls; Software piracy; Software pricing,,Research article,Article,IS security; piracy ,Individual,USA,Empirical descriptive,None,Analytical modeling; survey; regression,Theoretical; empirical,Software,0,0,0,1,Subjectivism; Non-cognitivism,Implicit
Tuttle B.; Harrell A.; Harrison P.,"Moral hazard, ethical considerations, and the decision to implement an information system",1997,Journal of Management Information Systems,20,45,"A decision-making study was conducted to examine the effects of moral hazard on information systems (IS) professionals' decisions whether or not to implement a system with quality problems. Moral hazard was defined as an incentive to act in one's self-interest in conflict with the organization's overall goals while being able to hide those actions through privately held information. Highly experienced IS professionals provided responses to a hypothetical decision case that revealed a tendency to implement a project with quality problems in a moral hazard situation. Their decisions, however, were strongly influenced by ethical considerations. These findings suggest that key economic constructs, such as moral hazard, apply to system implementation contexts. They also suggest that organizations can significantly moderate self-interested behavior by fostering an ethical climate.","Department of Accounting, University of South Carolina, Columbia, SC, United States; Arizona State University; University of Texas, Austin, TX, United States",Agency theory; Computer ethics; Incentives; Information system implementation; Information system quality; Moral hazard,,Research article,Article,IS implementation,Individual,USA,Empirical descriptive,Deontology (contractualism); agency theory,Experiment; hypothetical scenarios,Empirical,Cross sectoral,0,0,0,1,Non-cognitivism,Implicit
Thong J.Y.L.; Yap C.-S.,Testing an ethical decision-making theory: The case of softlifting,1998,Journal of Management Information Systems,24,156,"There is a lack of both theoretical and empirical research on the process of ethical decision making in the domain of information systems (IS). As a step in this direction, we describe and test a general ethical decision-making theory developed in the marketing discipline. We conducted a study on the ethical decision-making process of 243 entry-level IS professionals with regard to softlifting - that is, illegal copying of software for personal use. The results show support for the applicability of the tested ethical decision-making theory to the domain of IS, specifically in the context of softlifting. Entry-level IS professionals were found to use both deontological and teleological evaluations to arrive at an ethical judgment of a moral issue. Subsequently, moral intention to pursue softlifting behavior is primarily determined by the ethical judgment. These findings have implications for both research and practice.","Dept. of Info. and Syst. Management, School of Business and Management, Hong Kong Univ. of Sci. and Technol., Hong Kong; MIS, National University of Singapore, Singapore; Information Systems Division, Dept. of Info. Syst. and Comp. Sci., National University of Singapore, Singapore; Imperial College, London, United Kingdom; Cambridge University, United Kingdom",Computer ethics; Ethical decision-making; Softlifting; Software piracy,,Research article,Article,IS security; piracy ,Individual,Singapore,Empirical descriptive,Deontology; teleogical; egoism,Survey; vignettes,Empirical,IS students,0,0,0,1,Underdetermined,Underdetermined
Gopal R.D.; Sanders G.L.,International Software Piracy: Analysis of Key Issues and Impacts,1998,Information Systems Research,17,175,"The pervasiveness of software piracy throughout the world is having a profound effect on the software publishing industry and the development of digital intellectual properties and technologies - especially in developing countries, where the piracy rates are extremely high. An economic model is first presented that incorporates the incentive structures for governments, software publishers, and individual consumers. The analytical model provides the economic rationale for the reluctance of a number of governments to aggressively enact and enforce intellectual property rights. An important proposition derived from the analysis states that the government's incentive to enact and enforce copyright laws are closely related to the size of the domestic software industry. The ensuing empirical study provides support for the proposition and further suggests that this relationship holds regardless of the income levels of the countries. Our analysis reveals that alliances between foreign and domestic software publishers through product relationships can be mutually beneficial and will provide an environment of increased copyright enforcement. These results provide a viable strategy to combat global software piracy. With strong policies on copyright enforcement, and a vigorous promotion of alliances between foreign and domestic publishers, a government can increase the net welfare of the country and help establish a strong domestic software industry. Through product relationships with domestic publishers, a foreign publisher can improve profits and operate in an environment of increased intellectual property protection. We then present a general model of ethical behavior related to the impact of behavioral and cultural factors on software piracy. The purpose of this model is to examine whether these determinants of piracy behavior are supranational and transcend cultural and ethical barriers. An empirical study involving U.S. and Indian graduate students suggests that the general model of ethics as related to software piracy is valid in the United States. However, the model results from the Indian sample suggest that additional cross-cultural research with revised models and improved scales is necessary.","Dept. of Operations and Info. Mgmt., School of Business, University of Connecticut, Storrs, CT 06269, United States; 310A Jacobs Management Center, State Univ. of New York at Buffalo, Buffalo, NY 14260, United States",Culture; Economics; Ethics; Intellectual Property; Software Piracy,Cell culture; Copyrights; Developing countries; Economics; Intellectual property; Laws and legislation; Philosophical aspects; Publishing; Software engineering; Students; Cross-cultural research; Domestic software; Ethics; Incentive structure; Intellectual property protection; Intellectual property rights; Publishing industry; Software publishers; Computer crime,Research article,Article,IS security; piracy ,Societal; individual,USA; India,Empirical descriptive,Deontology; consequentialism,Econometric modeling; SEM,Empirical; theory testing,Software,0,0,0,1,Underdetermined,Underdetermined
Iivari J.; Hirschheim R.; Klein H.K.,A Paradigmatic Analysis Contrasting Information Systems Development Approaches and Methodologies,1998,Information Systems Research,29,211,"This paper analyses the fundamental philosophical assumptions of five ""contrasting"" information systems development (ISD) approaches: the interactionist approach, the speech act-based approach, the soft systems methodology approach, the trade unionist approach, and the professional work practice approach. These five approaches are selected for analysis because they illustrate alternative philosophical assumptions from the dominant ""orthodoxy"" identified in the research literature. The paper also proposes a distinction between ""approach"" and ""methodology."" The analysis of the five approaches is organized around four basic ques-tions: What is the assumed nature of an information system (ontology)? What is human knowledge and how can it be obtained (epistemology)? What are the preferred research methods for continuing the improvement of each approach (research methodology)? and what are the implied values of information system research (ethics)? Each of these questions is explored from the internal perspective of the particular ISD approach. The paper addresses these questions through a conceptual structure which is based on a paradigmatic framework for analyzing ISD approaches.","Dept. of Info. Processing Science, University of Oulu, FIN-90570 Oulu, Finland; College of Business Administration, University of Houston, Houston, TX 77204-6283, United States; School of Management, State Univ. of New York Binghamton, Binghamton, NY, United States",Assumption Analysis; Information Systems Development; Information Systems Development Methodologies and Approaches; Paradigmatic Analysis; Paradigms,Information systems; Management information systems; Philosophical aspects; Assumption Analysis; Information systems development; Information systems development methodologies; Paradigmatic Analysis; Paradigms; Speech analysis,Research article,Article,IS development; IS discipline,Disciplinary,General,Normative,Critical theory ,Conceptual analysis,Theoretical,Cross sectoral,0,0,0,1,Constructivism,Implicit
Banerjee D.; Cronan T.P.; Jones T.W.,Modeling IT ethics: A study in situational ethics,1998,MIS Quarterly: Management Information Systems,23,232,"Misuse of computer information systems has caused significant losses to business and society, even though computing has benefited both businesses and professionals. To this end, several measures have been suggested that both prevent and deter losses. One deterrent measure is to identify individual and situational characteristics of people who act ethically/unethically. This study identifies specific char-acteristics that are associated with and may influence the ethical behavior intention of information systems employees when faced with ethical dilemmas. The results of the study show that individual and situational characteristics do influence ethical behavior intention.","Western Carolina University, Forsyth College of Business, Cullowhee, NC 28723, United States; University of Arkansas, BADM 204, Fayetteville, AR 72701, United States; Accounting and Information Systems Department, Western Carolina University, Cullowhee, NC, United States; Department of Computer Information Systems and Quantitative Analysis, University of Arkansas, Fayetteville, United States; Department of Computer Information Systems and Quantitative Analysis, College of Business Administration, University of Arkansas, Fayetteville, United States",Ethical behavior; Ethics,Behavioral research; Computer crime; Decision making; Education; Managers; Mathematical models; Personnel; Problem solving; Professional aspects; Security of data; Social sciences; Societies and institutions; Ethical behavior; Ethics; Information systems; Information technology,Research article,Article,Computer use,Individual,US,Empirical descriptive,Situational ethics; Rest's model; Kohlberg,Survey; scenarios; regression,Empirical,Cross sectoral,0,0,0,1,Cognitivism; Subjectivism,Implicit
Gattiker U.E.; Kelley H.,Morality and Computers: Attitudes and Differences in Moral Judgments,1999,Information Systems Research,21,105,"Business ethics is an emerging area of research in many subfields of management, including information systems (IS). Empirical IS research has studied differences in users' attitudes and in moral judgments regarding ethical computer-related behavior. This study applied the ""domains of morality"" approach to determine how users felt about certain computer-related behaviors. Vignettes describing ethical dilemmas involving computer technology (e.g., uploading a computer virus on an electronic network/bulletin board system) were presented to a sample of Internet users. The research findings offered several interesting and, in some cases, unexpected results. The empirical results indicated that older computer users have a less permissive sense of what is right and wrong for an illegal game. When computers were used to test a banned game, men and women differed in their assessment of its appropriateness. A surprising finding was that participants were not likely to endorse civil liberties, and were more concerned about the harm to, and violations of, social norms when the scenario described a situation involving a computer virus. How users perceive, prejudge, and discriminate computer ethics and abusive computer actions raises numerous questions and implications for IS researchers, IS practitioners, and policy makers. The results of this study foster a better understanding of Internet users' moral categorization of specific computer behaviors and, hopefully, help to further reduce risks and vulnerabilities of systems by identifying computer actions deemed ethically acceptable by users. Opportunities for IS researchers to further explore this timely issue are also discussed.","Department of Production, Aalborg University, DK-9220 Aalborg, Fibigerstraede 16, Denmark; University of Lethbridge, Faculty of Management, Lethbridge, Alta. AB T1K 3M4, Canada",Age; Computer security; Computer viruses; Data encryption; Domain theory of moral development; Ethics; Gender; Socioeconomic status,Computer viruses; Cryptography; Information management; Philosophical aspects; Security of data; Data encryption; Ethics; Gender; Moral development; Socio-economic status; Computer games,Research article,Article,Computer use,Individual,US; UK; Canada,Empirical descriptive,Domain theory of moral development,Survey; vignettes,Empirical,Internet ,0,0,0,1,Naturalism; Subjectivism; Non-cognitivism; Cognitivism,Implicit
Smith H.J.; Hasnas J.,Ethics and information systems: The corporate domain,1999,MIS Quarterly: Management Information Systems,18,106,"IS-related ethical quandaries are receiving an increasing amount of attention. However, linkages to the normative theories of business ethics, which can be used in resolving these quandaries in the corporate domain, have been lacking. This paper enumerates and explains the three major normative theories. The stockholder theory holds that managers should resolve ethical quandaries by taking actions which increase the long-term profits to the stockholders without violating the law or engaging in fraud or deception. The stakeholder theory claims that managers should resolve ethical quandaries by balancing stakeholder interests without violating the rights of any stakeholder. The social contract theory states that managers should increase social welfare above what it would be in the absence of the existence of corporations without violating the basic canons of justice. The application of these theories-to IS-related ethical quandaries is discussed and a specific quandary dealing with a real-world example - Blockbuster Video's reported plans to market customer lists - is explored in depth. The managerial challenges associated with the theories are then explored.","Babcock Graduate School of Management, Wake Forest University, Winston-Salem, NC 27109, P.O. Box 7659, United States; George Mason University, School of Law, Arlington, VA 22201, 3401 North Fairfax Drive, United States; Babcock Graduate School of Management, Wake Forest University, Winston-Salem, NC, United States; George Mason University, School of Law, United States; Kennedy Institute of Ethics, United States",Corporate social responsibility; Ethical quandries; Ethics; Theoretical frameworks,Data reduction; Information analysis; Information technology; Laws and legislation; Project management; Social aspects; Societies and institutions; Corporate social responsibility; Ethical quandries; Ethics; Theoretical frameworks; Professional aspects,Research article,Article,IS discipline,Organization,US,Normative,"Business ethics: stockholder theory, stakeholder theory, social contract theory",Conceptual analysis,Theoretical,Cross sectoral,0,0,0,1,Realism; Cognitivism,Implicit
Adman P.; Warren L.,Participatory sociotechnical design of organizations and information systems - an adaptation of ETHICS methodology,2000,Journal of Information Technology,12,18,"This paper examines a practical adaptation of the ETHICS methodology used in redesigning an information technology (IT) support service in an academic setting. The purpose of the project was to design appropriate organizational structures and functions and an accompanying information system (IS), to increase the effectiveness of the existing service. A participative sociotechnical approach was adopted for the entire design process which was carried out by the practitioners themselves. The staff-s views were elicited during informal participatory group sessions as well as in one-to-one informal discussions. While ETHICS was the overall guiding methodology for the design, QUICKethics was used as a complementary means of analysing the requirements of the new IS. This paper describes the methodology used and the design process; it reflects on the adaptation and its match with the ETHICS methodology, exploring the claimed association with the viable systems methodology and concludes with suggestions for further research. © 2000, Association for Information Technology Trust. All rights reserved.","Computer Centre, University of Hull, Hull, HU6 7RX, Cottingham Road, United Kingdom; Lincoln School of Management, Lincoln University Campus, Lincoln, LN6 7TS, Brayford Pool, United Kingdom",,,Research article,Article,IS implementation,Organization,UK,Normative,Sociotechnical design (ETHICS),Case studies; action research,Empirical; methodological,Education,0,0,0,0,Constructivism,Implicit
Saravanamuthu K.,The political lacuna in participatory systems design,2002,Journal of Information Technology,13,20,"This paper critiques three prominent information systems (IS) contributions to the development of social (work) systems, namely ETHICS, UTOPIA and Multiple Perspectives. They are based on the socio-technical Quality of Working Life and generally rely on systems design for improving working conditions by allowing employees to appreciate a holistic work experience, instead of being treated as a cog in the profit-making machinery of capitalism. However, this paper argues that ETHICS and Multiple Perspectives in fact shy away from the ideo-political differences that cause workplace conflict in the first place. Their pluralist means of resolving workplace conflicts through discussion and negotiation fail to problematize the colonizing or hegemonic influence of economic rationalism in obscuring the feasibility of alternative modes of workplace relations. They play down the asymmetrical power relations that perpetuate the exploitation of weaker stakeholders in real-life employment negotiations. Hence, political quietism in social IS approaches fail to acknowledge the ideological causes of conflict, that is the pursuit of profit at any cost, as opposed to a more sustainable and ethical approach to workplace relations. This paper presents a study of an organizational accounting IS system and uses it for illustrating the ideological roots of differences in employee-employer needs and priorities and revealing how reflexive decision makers are alienated when they attempt to distance themselves from the myopic ethos of economic rationalism. Despite these criticisms, the paper concludes on a relatively positive note. It argues that, since the Brundtland Commission report Our Common Future was released in 1987, there has been increased awareness that organizations cannot continue to exploit our resources (and ourselves) blatantly in the name of profit maximization. This process of redefinition opens the door for more realistic and politically challenging systems approaches.","Sch. of Acco., Fin./Entrepreneurship, University of New England, Armidale, NSW 2351, Australia",,Decision making; Industrial economics; Personnel; Systems analysis; Information systems (IS); Information technology,Research article,Article,IS implementation,Organization; society,Australia,Normative,Marxist labor process theory; critical theory; postmodern critique,Critical interpretive analysis; case study,Theoretical,Automotive,0,0,0,0,Anti-realism; Non-cognitivism,Implicit
